country,region,region_code,start_date,end_date,days,year,week,population,total_deaths,covid_deaths,expected_deaths,excess_deaths,non_covid_deaths,covid_deaths_per_100k,excess_deaths_per_100k,excess_deaths_pct_change,zscore_total_deaths,normalized_total_deaths,month
Hungary,Hungary,0,2020-09-14,2020-09-20,7,2020,38,9709786,2472.0,46,2284.69971910113,187.300280898869,2426.0,0.47374885502111,1.92898464393416,0.0819802617092102,-0.30691881210063304,-0.3539167330197998,9
Hungary,Hungary,0,2020-09-21,2020-09-27,7,2020,39,9709786,2457.0,53,2324.09971910113,132.900280898869,2404.0,0.545841072089539,1.36872512843094,0.0571835536171703,-0.3083460430087733,-0.35678542300564453,9
Hungary,Hungary,0,2020-09-28,2020-10-04,7,2020,40,9709786,2562.0,86,2370.09971910113,191.900280898868,2476.0,0.885704381126422,1.97635952943626,0.0809671759176651,-0.2983554266517918,-0.33670459310473155,9
Hungary,Hungary,0,2020-10-05,2020-10-11,7,2020,41,9709786,2563.0,132,2420.69971910113,142.300280898868,2431.0,1.35945323614753,1.46553467706567,0.0587847719302044,-0.2982602779245825,-0.33651334710567526,10
Hungary,Hungary,0,2020-10-12,2020-10-18,7,2020,42,9709786,2758.0,188,2396.49971910113,361.500280898867,2570.0,1.93619097269497,3.72305096012278,0.150845117158812,-0.27970627611875976,-0.2992203772896941,10
Hungary,Hungary,0,2020-10-19,2020-10-25,7,2020,43,9709786,2989.0,283,2381.89971910113,607.100280898868,2706.0,2.91458534719509,6.25245789040941,0.254880705526921,-0.25772692013340054,-0.2550425515076856,10
Hungary,Hungary,0,2020-10-26,2020-11-01,7,2020,44,9709786,3185.0,394,2354.89971910113,830.100280898868,2791.0,4.05776193213733,8.54910994844653,0.352499205875196,-0.23907776960036847,-0.21755833569264812,10
Hungary,Hungary,0,2020-11-02,2020-11-08,7,2020,45,9709786,3551.0,619,2373.69971910113,1177.30028089887,2932.0,6.37501176647971,12.1248839150407,0.495976922196666,-0.20425333544174737,-0.1475623000380373,11
Hungary,Hungary,0,2020-11-09,2020-11-15,7,2020,46,9709786,3963.0,659,2366.09971910113,1596.90028089887,3304.0,6.78696729258503,16.4462973838854,0.674908275423626,-0.1650520598314963,-0.06876894842683604,11
Hungary,Hungary,0,2020-11-16,2020-11-22,7,2020,47,9709786,3950.0,703,2436.29971910113,1513.70028089887,3247.0,7.24011837130087,15.5894298895863,0.621311191324747,-0.16628899328521782,-0.07125514641456812,11
Hungary,Hungary,0,2020-11-23,2020-11-29,7,2020,48,9709786,4067.0,872,2424.69971910113,1642.30028089887,3195.0,8.98063046909582,16.9138669060149,0.677321099994887,-0.15515659220172417,-0.04887936452497941,11
Hungary,Hungary,0,2020-11-30,2020-12-06,7,2020,49,9709786,4169.0,1196,2544.09971910113,1624.90028089887,2973.0,12.3174702305489,16.7346662521591,0.638693628515856,-0.14545142202637076,-0.02937227262123541,11
Hungary,Hungary,0,2020-12-07,2020-12-13,7,2020,50,9709786,4089.0,1097,2525.89971910113,1563.10028089887,2992.0,11.2978803034382,16.0981949643264,0.618829112287608,-0.15306332020311855,-0.04467195254574051,12
Hungary,Hungary,0,2020-12-14,2020-12-20,7,2020,51,9709786,3733.0,1134,2606.49971910113,1126.50028089887,2599.0,11.6789391650856,11.6017003968869,0.432188913217053,-0.18693626708964617,-0.1127555282097882,12
Hungary,Hungary,0,2020-12-21,2020-12-27,7,2020,52,9709786,3752.0,948,2647.29971910113,1104.70028089887,2804.0,9.76334596869591,11.3771846351595,0.417293241459627,-0.18512844127266856,-0.10912185422771824,12
Hungary,Hungary,0,2020-12-28,2021-01-03,7,2020,53,9709786,3471.0,837,2617.22191011237,853.778089887635,2634.0,8.62016938375367,8.79296505492124,0.326215399079772,-0.21186523361849516,-0.1628619799625424,12
Hungary,Hungary,0,2021-01-04,2021-01-10,7,2021,1,9709786,3218.0,764,2803.31633895142,414.683661048578,2454.0,7.86835054861147,4.2707806438636,0.147926102839929,-0.23593786160246,-0.21124721772378977,1
Hungary,Hungary,0,2021-01-11,2021-01-17,7,2021,2,9709786,3203.0,693,2826.31633895132,376.683661048683,2510.0,7.13712948977454,3.87942289406464,0.13327724708567,-0.23736509251060023,-0.21411590770963446,1
Hungary,Hungary,0,2021-01-18,2021-01-24,7,2021,3,9709786,3041.0,627,2831.31633895132,209.683661048683,2414.0,6.45740287170078,2.15950857257496,0.0740587189654489,-0.2527791863185145,-0.2450977595567573,1
Hungary,Hungary,0,2021-01-25,2021-01-31,7,2021,4,9709786,2860.0,556,2931.14967228465,-71.1496722846514,2304.0,5.72618181286385,-0.732762516956104,-0.0242736401205993,-0.2700011059434063,-0.2797132853859501,1
Hungary,Hungary,0,2021-02-01,2021-02-07,7,2021,5,9709786,2887.0,566,2977.31633895132,-90.3163389513179,2321.0,5.82917069439018,-0.930157873214898,-0.0303348145340618,-0.2674320903087539,-0.2745496434114296,2
Hungary,Hungary,0,2021-02-08,2021-02-14,7,2021,6,9709786,2881.0,616,2959.98300561798,-78.983005617984,2265.0,6.34411510202182,-0.813437140818387,-0.026683601043679,-0.26800298267201,-0.27569711940576747,2
